player_name,team,opponent,position,jersey_number,round,season
Reuben Cotter,Cowboys,,Lock,13,21,2026
Patrick Carrigan,Broncos,,Lock,13,21,2026
Soni Luke,Cowboys,,Interchange,14,21,2026
Ben Hunt,Broncos,,Interchange,14,21,2026
Griffin Neame,Cowboys,,Interchange,15,21,2026
Ben Talty,Broncos,,Interchange,15,21,2026
Matthew Lodge,Cowboys,,Interchange,16,21,2026
Va'a Semu,Broncos,,Interchange,16,21,2026
Coen Hess,Cowboys,,Interchange,17,21,2026
Grant Anderson,Broncos,,Interchange,17,21,2026
Zac Laybutt,Cowboys,,Interchange,18,21,2026
Billy Walters,Broncos,,Interchange,18,21,2026
Ethan King,Cowboys,,Interchange,19,21,2026
Luke Gale,Broncos,,Interchange,19,21,2026
Sam McIntyre,Cowboys,,Reserve,20,21,2026
Hayze Perham,Broncos,,Reserve,20,21,2026
Kaiden Lahrs,Cowboys,,Reserve,21,21,2026
Jesse Arthars,Broncos,,Reserve,21,21,2026
Liam Sutton,Cowboys,,Reserve,22,21,2026
Joshua Coric,Broncos,,Reserve,22,21,2026
Clinton Gutherson,Dragons,,Fullback,1,21,2026
Keano Kini,Titans,,Fullback,1,21,2026
Setu Tu,Dragons,,Winger,2,21,2026
Dean Ieremia,Titans,,Winger,2,21,2026
Mathew Feagai,Dragons,,Centre,3,21,2026
Jojo Fifita,Titans,,Centre,3,21,2026
Valentine Holmes,Dragons,,Centre,4,21,2026
Jaylan De Groot,Titans,,Centre,4,21,2026
Tyrell Sloan,Dragons,,Winger,5,21,2026
Phillip Sami,Titans,,Winger,5,21,2026
Daniel Atkinson,Dragons,,Five-Eighth,6,21,2026
Jayden Campbell,Titans,,Five-Eighth,6,21,2026
Kyle Flanagan,Dragons,,Halfback,7,21,2026
Zane Harrison,Titans,,Halfback,7,21,2026
Loko Jnr Pasifiki Tonga,Dragons,,Prop,8,21,2026
Moeaki Fotuaika,Titans,,Prop,8,21,2026
Damien Cook,Dragons,,Hooker,9,21,2026
Oliver Pascoe,Titans,,Hooker,9,21,2026
Toby Couchman,Dragons,,Prop,10,21,2026
Tino Fa'asuamaleaui,Titans,,Prop,10,21,2026
Dylan Egan,Dragons,,2nd Row,11,21,2026
Arama Hau,Titans,,2nd Row,11,21,2026
Hamish Stewart,Dragons,,2nd Row,12,21,2026
Beau Fermor,Titans,,2nd Row,12,21,2026
